"","Montana.week","Montana.total_sequences","Montana.20I..Alpha..V1.","Montana.20H..Beta..V2.","Montana.20J..Gamma..V3.","Montana.21A..Delta.","Montana.21I..Delta.","Montana.21J..Delta.","Montana.21K..Omicron.","Montana.21L..Omicron.","Montana.22A..Omicron.","Montana.22C..Omicron.","Montana.21D..Eta.","Montana.21F..Iota.","Montana.21G..Lambda.","Montana.21H..Mu.","Montana.20B.S.732A","Montana.20E..EU1.","Montana.21C..Epsilon.","Montana.S.677H.Robin1","Montana.S.677P.Pelican","Montana.20G.S.677H.Robin2","Montana.20G.S.677H.Yellowhammer","Montana.20G.S.677H.Quail","Montana.20G.S.677H.Mockingbird"
"1","2020-04-27",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-05-25",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-06-08",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-06-22",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-07-06",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2020-07-20",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2020-08-03",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2020-08-17",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2020-08-31",54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2020-09-14",217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","2020-09-28",814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","2020-10-12",458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"13","2020-10-26",889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"14","2020-11-09",406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
"15","2020-11-23",613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0
"16","2020-12-07",213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"17","2020-12-21",171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,1,0,0,0
"18","2021-01-11",53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,1,0
"19","2021-01-25",79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,3,1,0,0,0,0
"20","2021-02-08",104,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16,1,2,0,0,0,0
"21","2021-02-22",115,12,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,32,4,2,0,0,0,0
"22","2021-03-08",141,25,0,0,0,0,0,0,0,0,0,0,3,0,0,12,0,41,1,6,0,0,0,0
"23","2021-03-22",196,48,0,0,0,0,0,0,0,0,0,6,11,1,0,27,0,54,9,2,1,0,0,3
"24","2021-04-05",191,76,1,2,0,0,0,0,0,0,0,2,19,2,0,20,0,39,1,0,3,0,0,7
"25","2021-04-19",254,155,0,12,1,0,0,0,0,0,0,0,28,3,0,8,0,33,1,0,1,0,0,0
"26","2021-05-03",197,142,0,2,0,0,0,0,0,0,0,0,7,1,0,2,0,8,0,0,0,0,0,0
"27","2021-05-17",170,131,0,4,0,0,2,0,0,0,0,0,12,0,0,2,0,1,0,0,0,0,0,0
"28","2021-05-31",154,115,0,6,5,2,16,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"29","2021-06-14",128,81,0,6,11,2,21,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
"30","2021-06-28",114,33,0,14,2,0,62,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
"31","2021-07-12",170,10,0,5,10,21,123,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"32","2021-07-26",452,5,0,1,28,42,373,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"33","2021-08-09",608,4,0,0,23,66,512,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"34","2021-08-23",760,1,0,0,28,61,670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","2021-09-06",1030,0,0,0,21,55,953,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"36","2021-09-20",975,0,0,0,15,46,913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","2021-10-04",1002,0,0,0,6,60,936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","2021-10-18",738,0,0,0,13,42,682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","2021-11-01",536,0,0,0,4,28,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","2021-11-15",312,0,0,0,0,8,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","2021-11-29",188,0,0,0,0,6,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","2021-12-13",218,0,0,0,0,2,114,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","2021-12-27",618,0,0,0,0,1,57,558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","2022-01-10",1442,0,0,0,0,0,15,1426,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","2022-01-24",1178,0,0,0,0,0,3,1172,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","2022-02-07",508,0,0,0,0,0,1,501,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","2022-02-21",146,0,0,0,0,0,0,134,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","2022-03-07",55,0,0,0,0,0,0,51,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","2022-03-21",33,0,0,0,0,0,0,21,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","2022-04-04",17,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","2022-04-18",44,0,0,0,0,0,0,3,30,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","2022-05-02",22,0,0,0,0,0,0,0,17,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
