"","North.Dakota.week","North.Dakota.total_sequences","North.Dakota.20I..Alpha..V1.","North.Dakota.20H..Beta..V2.","North.Dakota.20J..Gamma..V3.","North.Dakota.21A..Delta.","North.Dakota.21I..Delta.","North.Dakota.21J..Delta.","North.Dakota.21K..Omicron.","North.Dakota.21L..Omicron.","North.Dakota.22A..Omicron.","North.Dakota.22C..Omicron.","North.Dakota.21D..Eta.","North.Dakota.21F..Iota.","North.Dakota.21H..Mu.","North.Dakota.20B.S.732A","North.Dakota.21C..Epsilon.","North.Dakota.S.677H.Robin1","North.Dakota.S.677P.Pelican","North.Dakota.20A.EU2","North.Dakota.20G.S.677H.Robin2","North.Dakota.20G.S.677R.Roadrunner","North.Dakota.20G.S.677H.Quail"
"1","2020-04-27",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-05-25",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-06-08",39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-06-22",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-07-06",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2020-07-20",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2020-08-03",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2020-08-17",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2020-08-31",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2020-09-14",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","2020-09-28",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","2020-10-12",48,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"13","2020-10-26",9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"14","2020-11-09",54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"15","2020-11-23",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"16","2020-12-07",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"17","2020-12-21",293,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,36,1,0,0,0,0
"18","2021-01-11",366,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,30,3,0,0,1,1
"19","2021-01-25",149,3,0,0,0,0,0,0,0,0,0,1,0,0,1,2,4,1,1,0,0,0
"20","2021-02-08",54,3,0,0,0,0,0,0,0,0,0,1,0,0,0,7,1,0,0,0,0,0
"21","2021-02-22",65,7,0,0,0,0,0,0,0,0,0,5,0,0,3,12,4,0,0,0,0,0
"22","2021-03-08",188,17,0,0,0,0,0,0,0,0,0,1,18,0,7,37,5,2,0,2,0,0
"23","2021-03-22",255,110,6,1,0,0,0,0,0,0,0,1,15,0,3,54,3,0,0,0,0,0
"24","2021-04-05",395,225,1,1,0,0,0,0,0,0,0,1,51,0,0,56,2,0,0,0,0,0
"25","2021-04-19",491,305,0,6,0,0,0,0,0,0,0,0,106,1,3,36,1,0,0,0,0,0
"26","2021-05-03",398,245,0,17,1,0,0,0,0,0,0,0,107,0,1,15,0,0,0,0,0,0
"27","2021-05-17",236,157,0,17,1,1,1,0,0,0,0,0,51,0,0,3,0,0,0,0,0,0
"28","2021-05-31",156,121,0,3,0,0,5,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0
"29","2021-06-14",45,16,1,2,1,3,16,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"30","2021-06-28",67,12,0,2,1,0,51,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"31","2021-07-12",113,4,0,3,5,5,94,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"32","2021-07-26",397,3,0,0,15,26,352,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"33","2021-08-09",557,0,0,0,16,29,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","2021-08-23",425,0,0,0,7,38,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","2021-09-06",636,0,0,0,8,46,582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","2021-09-20",554,0,0,0,6,27,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","2021-10-04",603,0,0,0,3,37,563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","2021-10-18",610,0,0,0,2,40,568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","2021-11-01",395,0,0,0,0,27,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","2021-11-15",446,0,0,0,0,12,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","2021-11-29",698,0,0,0,1,8,689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","2021-12-13",782,0,0,0,0,9,593,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","2021-12-27",831,0,0,0,0,0,154,676,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","2022-01-10",1686,0,0,0,0,1,36,1646,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","2022-01-24",1988,0,0,0,0,0,8,1970,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","2022-02-07",1097,0,0,0,0,0,0,1076,17,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","2022-02-21",260,0,0,0,0,0,0,240,16,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","2022-03-07",133,0,0,0,0,0,0,110,23,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","2022-03-21",116,0,0,0,0,0,0,53,63,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","2022-04-04",94,0,0,0,0,0,0,8,85,0,1,0,0,0,0,0,0,0,0,0,0,0
"51","2022-04-18",167,0,0,0,0,0,0,4,153,1,9,0,0,0,0,0,0,0,0,0,0,0
"52","2022-05-02",94,0,0,0,0,0,0,0,83,0,11,0,0,0,0,0,0,0,0,0,0,0
